,Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
0,41,True,2.0,1102,1,2,1,1,2,0,94,3,2,4,Single,5993,19479,8,True,True,11,3,1,80,0,8,0,1,6,4,0,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,49,False,1.0,279,8,1,1,2,3,1,61,2,2,2,Married,5130,24907,1,True,False,23,4,4,80,1,10,3,3,10,7,1,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,37,True,2.0,1373,2,2,1,4,4,1,92,2,1,3,Single,2090,2396,6,True,True,15,3,2,80,0,7,3,3,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,33,False,1.0,1392,3,4,1,5,4,0,56,3,1,3,Married,2909,23159,1,True,True,11,3,3,80,0,8,3,3,8,7,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,27,False,2.0,591,2,1,1,7,1,1,40,3,1,2,Married,3468,16632,9,True,False,12,3,4,80,1,6,3,3,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,32,False,1.0,1005,2,2,1,8,4,1,79,3,1,4,Single,3068,11864,0,True,False,13,3,3,80,0,8,2,2,7,7,3,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,59,False,2.0,1324,3,3,1,10,3,0,81,4,1,1,Married,2670,9964,4,True,True,20,4,1,80,3,12,3,2,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,30,False,2.0,1358,24,1,1,11,4,1,67,3,1,3,Divorced,2693,13335,1,True,False,22,4,2,80,1,1,2,3,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,38,False,1.0,216,23,3,1,12,4,1,44,2,3,3,Single,9526,8787,0,True,False,21,4,2,80,0,10,2,3,9,7,1,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,36,False,2.0,1299,27,3,1,13,3,1,94,3,2,3,Married,5237,16577,6,True,False,13,3,2,80,2,17,3,2,7,7,7,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
